=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.14 22:46:21 =~=~=~=~=~=~=~=~=~=~=~=
0.01,-0.01,
0.01,
0.02,
0.04,
0.07,
0.07,
0.03,
0.03,
0.03,
0.02,
0.06,
0.05,
0.05,
0.03,
0.01,
0.03,
0.04,
0.04,
0.03,
0.03,
0.01,
0.02,
0.03,
0.04,
0.04,
0.04,
;
0.06,
0.04,
0.03,
0.03,
0.03,
0.05,
0.09,
0.09,
0.09,
0.12,
0.17,
0.16,
0.15,
0.10,
0.03,
0.02,
0.04,
0.07,
0.08,
0.07,
0.08,
0.09,
0.11,
0.09,
0.04,
0.00,
-0.00,
0.02,
0.06,
0.06,
;
0.10,
0.13,
0.15,
0.23,
0.28,
0.30,
0.30,
0.30,
0.33,
0.37,
0.41,
0.40,
0.32,
0.21,
0.13,
0.11,
0.14,
0.19,
0.20,
0.16,
0.13,
0.13,
0.17,
0.17,
0.16,
0.14,
0.13,
0.12,
0.13,
0.16,
;
0.19,
0.20,
0.25,
0.31,
0.37,
0.42,
0.42,
0.39,
0.44,
0.47,
0.52,
0.55,
0.44,
0.33,
0.21,
0.15,
0.20,
0.24,
0.26,
0.23,
0.20,
0.19,
0.19,
0.19,
0.16,
0.15,
0.19,
0.20,
0.23,
0.26,
;
0.24,
0.28,
0.36,
0.51,
0.65,
0.69,
0.68,
0.62,
0.61,
0.68,
0.70,
0.70,
0.61,
0.42,
0.34,
0.26,
0.26,
0.32,
0.33,
0.31,
0.30,
0.33,
0.32,
0.34,
0.35,
0.33,
0.34,
0.31,
0.30,
0.29,
;
0.32,
0.37,
0.52,
0.76,
0.87,
0.95,
0.90,
0.82,
0.85,
0.94,
0.97,
0.93,
0.78,
0.54,
0.42,
0.38,
0.41,
0.47,
0.48,
0.43,
0.38,
0.38,
0.41,
0.40,
0.39,
0.41,
0.41,
0.44,
0.47,
0.43,
;
0.43,
0.45,
0.59,
0.84,
1.02,
1.07,
1.04,
1.01,
1.01,
1.03,
1.13,
1.13,
0.92,
0.74,
0.58,
0.54,
0.59,
0.64,
0.61,
0.47,
0.42,
0.46,
0.50,
0.55,
0.51,
0.53,
0.53,
0.51,
0.53,
0.53,
;
0.59,
0.61,
0.81,
1.02,
1.27,
1.35,
1.29,
1.17,
1.15,
1.24,
1.31,
1.39,
1.13,
0.88,
0.67,
0.47,
0.58,
0.63,
0.64,
0.69,
0.60,
0.59,
0.62,
0.59,
0.62,
0.66,
0.69,
0.75,
0.73,
0.67,
;
0.62,
0.57,
0.75,
1.12,
1.41,
1.52,
1.55,
1.48,
1.54,
1.75,
1.71,
1.61,
1.35,
0.91,
0.77,
0.69,
0.75,
0.90,
0.83,
0.70,
0.64,
0.68,
0.73,
0.85,
0.89,
0.87,
0.87,
0.87,
0.85,
0.84,
;
0.88,
0.87,
1.09,
1.44,
1.78,
1.96,
1.88,
1.69,
1.48,
1.58,
1.72,
1.79,
1.67,
1.37,
1.09,
0.88,
1.03,
1.00,
1.05,
1.03,
0.98,
0.96,
0.94,
1.01,
0.82,
0.94,
1.00,
1.03,
1.02,
1.02,
;
1.07,
1.08,
1.58,
1.99,
2.07,
2.07,
1.90,
1.52,
1.68,
1.89,
1.86,
2.19,
1.86,
1.39,
1.12,
0.76,
0.80,
0.86,
1.10,
1.05,
1.18,
1.30,
1.32,
1.53,
1.32,
1.24,
1.30,
1.20,
1.30,
1.27,
;
1.14,
1.26,
1.45,
2.15,
2.33,
2.27,
2.12,
1.63,
1.75,
1.96,
2.20,
2.29,
2.17,
1.77,
1.36,
1.08,
1.03,
1.01,
1.17,
