Reference, Value, Footprint, Datasheet, MPN, MFN, PurchasingLink, Desc, Link, Purchasing Link
"C14","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C19","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C24","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C28","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C15","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C20","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C25","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C29","C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
"C32","C_100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","","","","THT 6.3mm 35v 100uF 50mohm alpolys for 15c each","",""
"C34","C_100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","","","","THT 6.3mm 35v 100uF 50mohm alpolys for 15c each","",""
"C36","C_100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","","","","THT 6.3mm 35v 100uF 50mohm alpolys for 15c each","",""
"C37","C_820uF","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","","","","","820uF 8mm Alelec THTs for 21c","",""
"C38","C_820uF","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","","","","","820uF 8mm Alelec THTs for 21c","",""
"C3","C_35nF","footprints:C_0805_OEM","~"
"Q2","HYG025N06LS1C2","footprints:PDFN_5X6MC_MCH","https://drive.google.com/file/d/1Gbielo2qQ6OtCDVvoQN8r_uS-8EwH9-v/view?usp=sharing"
"Q4","HYG025N06LS1C2","footprints:PDFN_5X6MC_MCH","https://drive.google.com/file/d/1Gbielo2qQ6OtCDVvoQN8r_uS-8EwH9-v/view?usp=sharing"
"Q3","HYG025N06LS1C2","footprints:PDFN_5X6MC_MCH","https://drive.google.com/file/d/1Gbielo2qQ6OtCDVvoQN8r_uS-8EwH9-v/view?usp=sharing"
"Q1","HYG025N06LS1C2","footprints:PDFN_5X6MC_MCH","https://drive.google.com/file/d/1Gbielo2qQ6OtCDVvoQN8r_uS-8EwH9-v/view?usp=sharing"
"C16","C_10uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A106KPFNNNE.pdf","1276-1052-1-ND","DK","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KPFNNNE/1276-1052-1-ND/3889138","","",""
