Reference, Quantity, Value, Footprint, Datasheet, MPN, MFN, PurchasingLink, Desc, Link, Purchasing Link
C1 C4 C5 C10 C16 C30 C33 ,7,"C_10uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A106KPFNNNE.pdf","1276-1052-1-ND","DK","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KPFNNNE/1276-1052-1-ND/3889138","","",""
C12 C13 C14 C15 C17 C18 C19 C20 C22 C23 C24 C25 C26 C27 C28 C29 C41 C43 C49 C51 C59 C60 ,22,"C_10uF","footprints:C_1206_OEM","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31A106KBHNNNE_Spec.pdf"
C2 ,1,"C_100nF","footprints:C_0603_1608Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL10A475KQ8NNNC.jsp","1276-6717-1-ND","DK","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B104KA8WPNC/1276-6717-1-ND/5961576","","",""
C3 ,1,"C_35nF","footprints:C_0805_OEM","~"
C32 C34 C35 C36 ,4,"C_100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","","","","THT 6.3mm 35v 100uF 50mohm alpolys for 15c each","",""
C37 C38 ,2,"C_820uF","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","","","","","820uF 8mm Alelec THTs for 21c","",""
C11 C21 C31 C39 C40 C44 C46 C47 C52 C56 C57 C58 ,12,"DNP","footprints:C_0805_OEM","~"
C50 ,1,"C_47uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/22/CL21A476MQYNNNG.pdf","1276-6467-1-ND","DK","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A476MQYNNNG/1276-6467-1-ND/5958095","","",""
C45 C53 C55 ,3,"C_1uF","footprints:C_0805_OEM","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf","","","https://www.digikey.com/product-detail/en/yageo/CC0805ZKY5V9BB105/311-1909-1-ND/5195811#images","","",""
C42 C48 C54 C62 ,4,"C_100nF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","478-3352-1-ND","DK","https://www.digikey.com/products/en?keywords=478-3352-1-ND","","",""
C6 ,1,"C_10pF","footprints:C_0805_OEM","~"
C61 ,1,"C_10uF_50V","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61H106KE43-01A.pdf","GRM21BR61H106KE43L","Murata","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61H106KE43L/10326316","","",""
C7 C8 ,2,"C_220nF","footprints:C_0805_OEM","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf","","","https://www.digikey.com/product-detail/en/yageo/CC0805ZRY5V9BB224/311-4362-1-ND/8025451","","",""
C9 ,1,"C_100uF+","footprints:C_0805_OEM","https://www.nichicon.co.jp/english/products/pdfs/e-uuq.pdf","","","https://www.digikey.com/product-detail/en/nichicon/UUQ1H101MCL1GS/493-3209-2-ND/1965345","","",""
D1 D2 D3 D4 D5 ,5,"D_TVS_35V","footprints:DO-214AB","https://www.diodes.com/assets/Datasheets/ds40741.pdf","SMCJ22A-13-F","","","","",""
D6 D7 D8 D9 D10 ,5,"LED_0805","footprints:LED_0805_OEM","http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf","475-1410-1-ND","DK","https://www.digikey.com/products/en?keywords=475-1410-1-ND","","",""
H1 H2 H3 ,3,"MotorConnector_Pad","TestPoint:TestPoint_Pad_4.0x4.0mm","~"
J1 ,1,"Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
J2 J3 ,2,"Conn_02x19_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x19_P2.54mm_Vertical","~"
J4 ,1,"Conn_01x10","footprints:PinHeader_1x10_P2.54mm_Vertical",""
J6 ,1,"CONN_01X03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left","https://www.mouser.com/datasheet/2/181/M20-999-1218971.pdf","855-M20-9990346","Mouser","https://www.mouser.com/ProductDetail/Harwin/M20-9990346?qs=sGAEpiMZZMs%252bGHln7q6pmzlZUuX%2f53qj1ROyRKct5o4%3d","","",""
J5 J7 J8 ,3,"CONN_01x02","footprints:PinHeader_1x02_P2.54mm_Vertical","https://katalog.we-online.de/em/datasheet/6130xx11121.pdf","732-5315-ND","DK","","","",""
L1 ,1,"SRP0520-4R7K","footprints:SRP0520-4R7K","https://www.bourns.com/docs/product-datasheets/srp0520.pdf"
NT1 NT2 ,2,"Net-Tie_2","NetTie:NetTie-2_SMD_Pad0.5mm","~"
Q1 Q2 Q3 Q4 ,4,"HYG025N06LS1C2","footprints:PDFN_5X6MC_MCH","https://drive.google.com/file/d/1Gbielo2qQ6OtCDVvoQN8r_uS-8EwH9-v/view?usp=sharing"
Q5 Q6 Q9 Q10 Q13 Q14 ,6,"PSMN2R2-40YSD","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
Q7 Q8 Q11 Q12 Q15 Q16 ,6,"DNP","footprints:LFPAK56","https://assets.nexperia.com/documents/data-sheet/PSMN2R2-40YSD.pdf"
R1 R36 ,2,"R_1m_3W_1%","footprints:WSL27261L000FEB","https://www.vishay.com/docs/30131/wsl2726.pdf","WSL27261L000FEB","","","","",""
R5 R10 ,2,"R_2M","footprints:R_0805_OEM","~"
R11 ,1,"R_120K","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","RMCF0805FT120KCT-ND","DK","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT120K/RMCF0805FT120KCT-ND/2418248","","",""
R14 R17 R20 R27 R33 R37 ,6,"R_0","footprints:R_0805_OEM","~"
R2 R9 ,2,"R_100K","footprints:R_0805_OEM","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P100KCCT-ND","DK","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1003V/P100KCCT-ND/119551","","",""
R16 R18 R21 R40 R41 R42 R43 ,7,"R_10K","footprints:R_0805_OEM","http://www.bourns.com/data/global/pdfs/CRS.pdf","CRS0805-FX-1002ELFCT-ND","DK","https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND","","",""
R22 R23 R28 R29 R34 R35 ,6,"R_1","footprints:R_0805_OEM","","","","","","https://www.digikey.com/product-detail/en/yageo/RC0603FR-071RL/311-1.00HRCT-ND/729789",""
